time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2023-09-02 18:30,6640.393,8975.224,1001.412,2278.520
2023-09-02 18:45,6640.393,8975.224,1001.445,2278.520
2023-09-02 19:00,6640.393,8975.224,1001.465,2278.520
2023-09-02 19:15,6640.416,8975.224,1001.465,2278.520
2023-09-02 19:30,6640.442,8975.224,1001.465,2278.520
2023-09-02 19:45,6640.483,8975.224,1001.465,2278.520
2023-09-02 20:00,6640.544,8975.224,1001.465,2278.520
2023-09-02 20:15,6640.604,8975.224,1001.465,2278.520
2023-09-02 20:30,6640.649,8975.224,1001.465,2278.520
2023-09-02 20:45,6640.709,8975.224,1001.465,2278.520
2023-09-02 21:00,6640.751,8975.224,1001.465,2278.520
2023-09-02 21:15,6640.800,8975.224,1001.465,2278.520
2023-09-02 21:30,6640.879,8975.224,1001.465,2278.520
2023-09-02 21:45,6640.945,8975.224,1001.465,2278.520
2023-09-02 22:00,6641.008,8975.224,1001.465,2278.520
2023-09-02 22:15,6641.087,8975.224,1001.465,2278.520
2023-09-02 22:30,6641.136,8975.224,1001.465,2278.520
2023-09-02 22:45,6641.183,8975.224,1001.465,2278.520
2023-09-02 23:00,6641.239,8975.224,1001.465,2278.520
2023-09-02 23:15,6641.285,8975.224,1001.465,2278.520
2023-09-02 23:30,6641.341,8975.224,1001.465,2278.520
2023-09-02 23:45,6641.423,8975.224,1001.465,2278.520
2023-09-03 00:00,6641.485,8975.224,1001.465,2278.520
2023-09-03 00:15,6641.551,8975.224,1001.465,2278.520
2023-09-03 00:30,6641.616,8975.224,1001.465,2278.520
2023-09-03 00:45,6641.689,8975.224,1001.465,2278.520
2023-09-03 01:00,6641.753,8975.224,1001.465,2278.520
2023-09-03 01:15,6641.826,8975.224,1001.465,2278.520
2023-09-03 01:30,6641.891,8975.224,1001.465,2278.520
2023-09-03 01:45,6641.969,8975.224,1001.465,2278.520
2023-09-03 02:00,6642.051,8975.224,1001.465,2278.520
2023-09-03 02:15,6642.127,8975.224,1001.465,2278.520
2023-09-03 02:30,6642.182,8975.224,1001.465,2278.520
2023-09-03 02:45,6642.241,8975.224,1001.465,2278.520
2023-09-03 03:00,6642.288,8975.224,1001.465,2278.520
2023-09-03 03:15,6642.334,8975.224,1001.465,2278.520
2023-09-03 03:30,6642.401,8975.224,1001.465,2278.520
2023-09-03 03:45,6642.470,8975.224,1001.465,2278.520
2023-09-03 04:00,6642.533,8975.224,1001.465,2278.520
2023-09-03 04:15,6642.610,8975.224,1001.465,2278.520
2023-09-03 04:30,6642.663,8975.224,1001.465,2278.520
2023-09-03 04:45,6642.710,8975.224,1001.465,2278.520
2023-09-03 05:00,6642.766,8975.224,1001.465,2278.520
2023-09-03 05:15,6642.816,8975.224,1001.465,2278.520
2023-09-03 05:30,6642.873,8975.224,1001.465,2278.520
2023-09-03 05:45,6642.951,8975.224,1001.465,2278.520
2023-09-03 06:00,6643.019,8975.224,1001.465,2278.520
2023-09-03 06:15,6643.084,8975.224,1001.465,2278.520
2023-09-03 06:30,6643.143,8975.224,1001.465,2278.520
2023-09-03 06:45,6643.193,8975.224,1001.465,2278.520
